Semester,Session,Batch,Matric No.,Feedback,Feedback 2,Score,Sentiment,Rating
1,2020/2021,7,17055182,"Thank you!
Dear Dr Salimah,
First and for most, I would like to thank you for sharing your knowledge with me. Data Science is a very new subject to me and I have learnt so much from your sessions. The multiple quizzes that you have introduced in this course is very helpful in helping me to understand the course. It have been a very interesting experience learning this subject via online classes and external resources that were provided throughout the semester, which is a breathe of fresh air compared to the old ways of attending lectures in lecture halls and listening only from start till the end. Through this course, I have learnt a new programming language (R) and its ecosystem (shiny), learnt multiple methods to visualize my information which I have never used before.
This course have helped shed a new light in the way I look at data.
Take care.",thank first like thank sharing knowledge new subject learnt much session multiple introduced helpful helping understand interesting experience learning subject online external resource provided throughout breathe fresh air compared old way attending lecture lecture hall listening start till end learnt new programming language (r) ecosystem (shiny) learnt multiple method visualize information never used helped shed new light way look care,0.9661,Positive,4.93
1,2020/2021,7,S17216146,"A Big Salute to Dr.Salimah!!!!
Dear Dr. Salimah, 
First of all thank you so much for everything whatever you did for us. You have been the first instructor to me.. I have admire many things from you.. Eventhough you have been hospitalized , you never missed out anything, your dedication level, punctual(always want your students also to be),precise to the point, immediate response to the students, your focus towards teaching , your hardworking(especially during the weekly quizes, you need to prepare more than us, and that too every week, without fail).
I am an international student from India. So , I was very scared in the beginning of our class. Because, I don't have any knowledge about data science, (My background is from Electronic and Instrumentation department) there was a communication problem, and also due to this pandemic, everything is in online. So, all became an issue for me, accessing the spectrum, registering for the course everything was a challenge.
But later on, I picked up to some level and now I knew what is data science and I am able to do dashboards. Really I love to do infographics, because of tutorial and the assessment(story telling). It was not like an exam, it enhances my creativity level. I really wants to thank you from the bottom of my heart, and I hope soon this pandemic should be changed, and I will meet you at least before finishing up my entire course!!!!!!",big salute first thank much everything whatever first instructor admire many thing eventhough hospitalized never missed anything dedication level punctual(always want student be) precise point immediate response student focus towards teaching hardworking(especially weekly need prepare every week without fail) international student india scared beginning knowledge (my background electronic instrumentation department) communication problem due pandemic everything online became issue accessing spectrum registering everything challenge later picked level knew able dashboard really love infographics tutorial assessment(story telling) like exam enhances creativity level really want thank bottom heart hope soon pandemic changed meet least finishing entire,0.95,Positive,4.9
1,2020/2021,7,17220701,"Thank you very much!
Dear Dr Salimah,

As a new international student from China in the field of data science, this course is the door for me to step into this field, and the professor is the key to open this door and gave me a preliminary understanding of data science. In fact, this is my first semester in UM. Because I am a beginner in data science and have language problems, I have always been particularly worried that this course will not be learned well. This is also a very big challenge for me. I also felt a lot of pressure.

Although we have been taking classes online due to the epidemic, the guidance given to us by the professor has not diminished at all. We have clearly planned our weekly tutorial, quiz, mid-term and end-of-term, etc., all of which can train us and let us gain more A lot of knowledge related to data science. Among these links, I think the weekly quiz is the most interesting, because it allows us to have a review effect on the knowledge we learned last week. I still have many shortcomings in data science, and I still need to spend time to learn.

The professor has been teaching us very carefully. I saw the professor in the hospital some time ago. I hope that the professor can pay attention to your health in the future!
Although we are far apart now, thank you very much for your teaching and help to all of us this semester!

This journey will be a particularly fond memory in my life! It is my honor to have a teacher like you!
Everything goes well! Keep healthy and safe. ",thank much new international student china field door step field professor key open door gave preliminary understanding fact first beginner language problem always particularly worried learned well big challenge felt lot pressure although taking online due epidemic guidance given professor diminished clearly planned weekly tutorial mid-term end-of-term etc train let gain lot knowledge related among link think weekly interesting allows review effect knowledge learned last week still many shortcoming still need spend time learn professor teaching carefully saw professor hospital time ago hope professor pay attention health future although far apart thank much teaching help journey particularly fond memory life honor teacher like everything go well keep healthy safe,0.9828,Positive,4.97
1,2020/2021,7,S2010204,"Thank you!
Dear Dr Salimah,

As a new student entering to this course, this subject is my very first subject of this semester, and also the first class that I attended to for this MDS course. In the beginning, everything is new to me, and I was quite worried that I would not be able to follow up the lessons. However, from the sources you provided and also the classes you conducted, everything seems to be clear. I am glad that I learnt a lot from you. The knowledge you shared with us really benefits me a lot in all aspects, be it in my group projects, assignments or even in real life.

One thing that I like and enjoy the most is the quiz session every week before the classes, whether it is in Kahoot! or Join My Quiz. These quizzes really help me a lot when I do my revision, and it is also an interesting way to help me enhance all the knowledge I have been learning for the past few weeks. I hope that this session will keep on continue for the future classes, as I am sure the future students would love this session too!

Time flies and now this semester has come to an end. I feel really honored to have you as our lecturer. Thank you for all the contributions for this whole semester! I really enjoyed this subject! 😊 Hope to meet with you soon one day when we are back in campus!

And also special thanks to my groupmates and friends who have been helping me along the journey. Words can’t describe how grateful I am to have you all. 😊

Take care, stay healthy and safe.",thank new student entering subject first subject first attended beginning everything new quite worried able follow lesson however source provided conducted everything seems clear glad learnt lot knowledge shared really benefit lot aspect group project assignment even real life thing like enjoy session every week whether kahoot join really help lot revision interesting way help enhance knowledge learning past week hope session keep continue future sure future student love session time fly come end feel really honored lecturer thank contribution whole really enjoyed subject 😊 hope meet soon day back campus special thanks groupmates friend helping along journey word can’t describe grateful 😊 care stay healthy safe,0.9968,Positive,4.99
1,2020/2021,7,17083991,"Learning + Attitude + Communication.
Thank you Dr. Salimah and fellow coursemates. I've learned so much from this course, the important attitude of following instructions, as well as communication.

I take this opportunity to submit one last ""video assignment"" for the words of closure. Please watch at https://www.dropbox.com/s/s4jidtkzaf39gsr/UM-PDS- Closing.mp4?dl=0

We shall cross paths again. Wish you all the best and the best of health. See you on campus soon!",learning + attitude + communication thank fellow coursemates i've learned much important attitude following instruction well communication opportunity submit last video assignment word closure please watch http www dropbox com s4jidtkzaf39gsr um-pds- closing mp4 dl=0 shall cross path wish best best health see campus soon,0.9666,Positive,4.93
1,2020/2021,7,S2003385,"The First Milestone: Challenging Yet Rewarding =).
Dear Dr Salimah,

I still remembered your comment on my intro padlet, ""Keep on Smiling""! And yes, till today, still keeping the smile on with all the fruitful knowledge that I have gained throughout my 14 weeks journey from you. Every assessment and tutorial taught me something valuable such as the fundamental knowledge of Data Science, R programming, project planning, creative and critical thinking especially for the alternative assessment and Shiny App design. I always loved colours and this has definitely challenge my skills to use the right colours for the right occasions with ""MEANING"". With all the learnings, twas definitely glad to be able to share them with my manager and fellow teammates.

There were times where I was nervous for I did not know if I had the right answers to all the questions or if I wasn't able to juggle my time well between work and studies. However, I've realized that it was actually just part and parcel of life to have self doubt at times, which eventually serves as a wake up call to push through with confidence. Apart from my manager, your occasional encouragement acted as a ""booster"" as well. Once again, may Allah bless you not only with a speedy recovery, but with constant good health too. Take care and here's a little ""pantun empat kerat"" from me before I end. [still a beginner =P]

Isnin senja kudengar kuliahmu, Walaupun dengan alat teknologi, Tidak akan kulupa jasamu, Semoga kita berjumpa lagi.",first milestone challenging yet rewarding =) still remembered comment intro padlet keep smiling yes till today still keeping smile fruitful knowledge gained throughout week journey every assessment tutorial taught something valuable fundamental knowledge programming project planning creative critical thinking especially alternative assessment design always loved colour definitely challenge skill use right colour right occasion meaning learning twas definitely glad able share manager fellow teammate time nervous know right answer question able juggle time well work study however i've realized actually part parcel life self doubt time eventually wake call push confidence apart manager occasional encouragement acted booster well may bless speedy recovery constant good health care here's little pantun empat kerat end [still beginner =p] isnin senja kudengar kuliahmu walaupun dengan alat teknologi tidak akan kulupa jasamu semoga kita berjumpa lagi,0.9936,Positive,4.99
1,2020/2021,7,S2001734,"Learnt a lot!

Technically this is my (& everyone else's) first ever online University class. Never would I have imagined that I would be taking my Master's in these conditions. This is also my first taste of a proper Data Science course. It was tough in the beginning, learning the ropes, finding how to register subjects and finding materials on Spectrum.

I can say that the experience is mostly challenging but is still enjoyable. Coming from an unrelated background, I entered with no experience, almost zero knowledge and end up with more knowledge from Dr Salimah than I could digest. I learned that it's not just about programming and stats, it also about being ethical and having good visualization skills.

What's more important is that I now know what I don't know which is always a good thing in trying further improve myself. Have to spend more time reading to catch up with the others during the sem break. Just hope we all pass with good grades! Thank you again Dr Salimah for the unique & wonderful semester.",learnt lot technically (& everyone else's) first ever online university never imagined taking master's condition first taste proper tough beginning learning rope finding register subject finding material spectrum say experience mostly challenging still enjoyable coming unrelated background entered experience almost zero knowledge end knowledge digest learned programming stats ethical good visualization skill what's important know know always good thing trying improve spend time reading catch others sem break hope pas good grade thank unique wonderful,0.9794,Positive,4.96
1,2020/2021,7,S2003839,"Assalamualaikum and Good day,
First time in my live, a Dr. reply to WhatsApp with an exclamation mark. Almost every reply is marked with an exclamation mark. I was shocked. I suspect Dr. is a fierce person (Don’t mad at me Dr). Ada pepatah mengatakan “Tak kenal maka tak cinta”. Now I know, Dr. Salimah is not that person. She is a firm person (tegas), she teaches fully dedicated and I can easily understand what she teaches plus with her quiz (I enjoy to do because it's a different platform an easily to handle) helps me a lot to understand of every chapter. FYI Dr, the knowledge that Dr taught me, very useful in my daily work, especially the EDA chapter. I can also spread the knowledge to my colleagues. On this occurrence, I would also like to thank my awesome teammate, Anas, Ushani and Valli.
Nice to work with you all.

Last but not least, thank you very much Dr. You are such a great lecturer that I‘ve never seen before.

Jauh di mata dekat di hati, ",assalamualaikum good day first time live reply whatsapp exclamation mark almost every reply marked exclamation mark shocked suspect fierce person (don’t mad dr) ada pepatah mengatakan “tak kenal maka tak cinta” know person firm person (tegas) teach fully dedicated easily understand teach plus (i enjoy different platform easily handle) help lot understand every chapter fyi knowledge taught useful daily work especially eda chapter spread knowledge colleague occurrence like thank awesome teammate ana ushani valli nice work last least thank much great lecturer i‘ve never seen jauh di mata dekat di hati,0.9848,Positive,4.97
1,2020/2021,7,S2018835,"A Big Thank You, Doctor!
This is Rahil Mushtaq,

You have provided me with so much knowledge that I didn't have 14 weeks ago. Being my very first teacher in this course, you have helped set me in the right direction and begun my journey. Because of you and your lessons, I am able to understand now the many things that are as they are in the world of Data Science.

I appreciate you for taking the time to make the classes fun with your online quiz games like Kahoot and helping me realize that there is more to data than just numbers. It is important to tap into creativity as well, as it can help to provide different perceptions of information.
Hope that one I can say hi to you once this pandemic is over! ",big thank doctor rahil mushtaq provided much knowledge week ago first teacher helped set right direction begun journey lesson able understand many thing world appreciate taking time make fun online game like kahoot helping realize number important tap creativity well help provide different perception information hope say pandemic,0.9705,Positive,4.94
1,2020/2021,7,S2021006,"Ordinary Subject with an extraordinary guru!
I am Goh Chin Teck. Special thanks to Dr. Salimah for the dedication and passion to share your knowledge to us. Although this course is a basic class, but you have exposed the vastness of data science and thus build a strong foundation for our future studies.
You are very strict, but ""a strict teacher produces outstanding students"".
Wishing you good health and happiness... Thanks.",ordinary subject extraordinary guru goh chin teck special thanks dedication passion share knowledge although basic exposed vastness thus build strong foundation future study strict strict teacher produce outstanding student wishing good health happiness thanks,0.9801,Positive,4.96
1,2020/2021,7,17140821,"First of all, special thanks to all your hard work and dedication in teaching. You have put in a lot of effort to instill good values among all students. Personally, I love the weekly quizzes. To be more specific, I love Kahoot the most, as compared to other quizzes platform. Kahoot quiz is live, and it is more exciting to play.

Second, thank you for your understanding, and allow us to work on the alternative assessment over the weekend.
Otherwise, it would be insufficient time for working students. Appreciate that very much.

Not to forget, thanks for making the slides interesting. I noticed the slides were full of information and links like TedTalk. Thank you for putting your effort in finding great resources to guide us with valuable knowledge.

Moreover, thanks to my fellow assignment mates, Leow, Wendy and Varian. Thanks for being there all the time, and I appreciate that I have the chance to try on the new way of working on assignment together online. Thanks for spending time to make it a success!

Last but not least, to Dr. Salimah and every classmate, please take good care of yourself. Hope that we are able to meet in person very soon.

Thank you!

Best wishes, LIM KEVIN",first special thanks hard work dedication teaching put lot effort instill good value among student personally love weekly specific love kahoot compared platform kahoot live exciting play second thank understanding allow work alternative assessment weekend otherwise insufficient time working student appreciate much forget thanks making slide interesting noticed slide full information link like tedtalk thank putting effort finding great resource guide valuable knowledge moreover thanks fellow assignment mate leow wendy varian thanks time appreciate chance try new way working assignment together online thanks spending time make success last least every classmate please good care hope able meet person soon thank best wish lim kevin,0.9976,Positive,5.0
1,2020/2021,7,S2003493,"A Well-rounded Introduction and Exposure to Data Science.
Hi, Dr. Salimah

Thank you for designing such a comprehensive learning experience. The materials are informative and engaging. I love the online quiz before every class very much. It's entertaining (especially when it was conducted on https://quizizz.com/), at the same time helps our revisions.

It's hard to conduct online lectures during this uncertain time, especially when most of us are not given much time to prepare and adjust to this new mode of learning/teaching. Thank you for sacrificing your sabbatical to provide us with a top-notch educational experience.

This course exposed me to every aspect of data science. As a risk modeller, I am used to focusing on the model performance(e.g. evaluation metrics) and its impact on the bottom line. You have shown me that Data Science is much more than that and successfully change my mind on the importance of data storytelling and visualisation. I will use the lessons learned from this course to explore further the realm of Data Science.

It's quite sad that I do not have a chance to interact in person with you and other coursemates. Let's take good care during the COVID-19 pandemic.",well-rounded introduction exposure thank designing comprehensive learning experience material informative engaging love online every much entertaining (especially conducted http com time help revision hard conduct online lecture uncertain time especially given much time prepare adjust new mode learning teaching thank sacrificing sabbatical provide top-notch educational experience exposed every aspect risk modeller used focusing model performance(e g evaluation metrics) impact bottom line shown much successfully change mind importance storytelling visualisation use lesson learned explore realm quite sad chance interact person coursemates let's good care covid-19 pandemic,0.9715,Positive,4.94
1,2020/2021,7,S2018306,"Thanks for introducing us to Data Science in the best way possible.
Hello Dr. Salimah,

Firstly, You are a great professor : organized, responsive, patient and able to clearly explain complex topics and nuances. Thank you so much for caring about us beyond what your job requires. Thank you for you dedication, organization, enthusiasm and hard work. You are an inspiring professor. For the past 14 weeks, the lecturing, tutorials, quizzes, exit checklist, projects has been perfect as every single assessment gave make me understand more in details on Data Science World. Taking from me as guy who doesn't even know anything about Data Science/ programming, as I come from a totally different background(Petroleum Engineering). You have taught me a lot professor and again Thanks for everything, thanks for your time in creating a creative way of doing the quiz, you made is something more fun out of it by using different platforms. To be honest, in my whole first semester in Masters Of Data Science, I fell you have taught us the best ways to learn as possible and I would say one of the most effective teaching method.

Thank you for everything Dr.Salimah. Take care Dr & Stay Safe always. :)",thanks introducing best way possible hello firstly great professor organized responsive patient able clearly explain complex topic nuance thank much caring beyond job requires thank dedication organization enthusiasm hard work inspiring professor past week lecturing tutorial exit checklist project perfect every single assessment gave make understand detail world taking guy even know anything programming come totally different background(petroleum engineering) taught lot professor thanks everything thanks time creating creative way made something fun using different platform honest whole first master fell taught best way learn possible say effective teaching method thank everything care stay safe always,0.9963,Positive,4.99
1,2020/2021,7,S2001169,"Amazing experience into the Data Science World.
Coming from a totally different background, this course has given me a robust introduction of what data science is all about. I personally love how this course isn’t just about the theories and concepts but also involve some practical aspects that was helpful for someone who does not have programming background like me.

With that, I would like to thank Dr.Salimah for your dedication in finding lots of different platforms to conduct this course. I truly enjoyed all the different quizzes sessions in the beginning of most classes that we had. I appreciate the variety of activity/exercises in the tutorials although sometimes it could be a little bit overwhelming since we had quite a lot to do every week. Nevertheless, it taught me to discover lots of useful tools and resources to kick-start my journey in this MS. Data Science program, that I surely will make use of it moving forward.

Lastly, to my groupmates who have been incredible from the start till the end, thank you and hopefully we’ll have a chance to meet each other physically post-pandemic. For the rest who might be reading this, looking forward to connecting with you.",amazing experience world coming totally different background given robust introduction personally love isn’t theory concept involve practical aspect helpful someone doe programming background like like thank dedication finding lot different platform conduct truly enjoyed different session beginning appreciate variety activity exercise tutorial although sometimes little bit overwhelming since quite lot every week nevertheless taught discover lot useful tool resource kick-start journey program surely make use moving forward lastly groupmates incredible start till end thank hopefully we’ll chance meet physically post-pandemic rest might reading looking forward connecting,0.9903,Positive,4.98
1,2020/2021,7,17221022,"A Great Intro Into Data Science.
Assalamualaikum Everyone,

I join the course with some background about Data Science. the course helped me greatly to fill most of my knowledgy gaps about The Principle of Data Science. I liked how the course was design acourding to full life cycle of data science Project. I have learned so many methods and techniques which I will greatly applying them into future projects.",great intro assalamualaikum everyone join background helped greatly fill knowledgy gap principle liked design acourding full life cycle project learned many method technique greatly applying future project,0.8442,Positive,4.69
1,2020/2021,7,S2012133,"Thank You Doctor!
Hi Dr. Salimah,

I would like to take this opportunity to express my sincere appreciation to you for your amazing lectures, I have learned a lot and benefited from your course, especially the weekly quiz before the class and weekly tutorial which definitely helped me to understand more deeply on the course.

I really enjoyed your class and very thankful for passionate instructor like you.
Thank you for a wonderful semester.

P/s: I would also like to express my special thanks to my group mate Chuan Liang, Kumanan, and William, thanks for always being so supportive!",thank doctor like opportunity express sincere appreciation amazing lecture learned lot benefited especially weekly weekly tutorial definitely helped understand deeply really enjoyed thankful passionate instructor like thank wonderful like express special thanks group mate chuan liang kumanan william thanks always supportive,0.9943,Positive,4.99
